Season,Region,Rank,Race,Count,Percentage
29,CN,Diamond,Random,899,7.581379659301738
29,CN,Diamond,Terran,4179,35.24203069657615
29,CN,Diamond,Zerg,3993,33.6734693877551
29,CN,Gold,Protoss,552,35.24904214559387
29,CN,Gold,Random,123,7.854406130268199
29,CN,Gold,Terran,568,36.27075351213283
29,CN,Gold,Zerg,323,20.625798212005108
29,CN,Grandmaster,Protoss,204,25.53191489361702
29,CN,Grandmaster,Random,54,6.758448060075094
29,CN,Grandmaster,Terran,266,33.29161451814768
29,CN,Grandmaster,Zerg,275,34.4180225281602
29,CN,Master,Protoss,461,23.48446255731024
29,CN,Master,Random,146,7.437595517065716
29,CN,Master,Terran,748,38.10494141619969
29,CN,Master,Zerg,608,30.973000509424352
29,CN,Platinum,Protoss,1545,33.70418848167539
29,CN,Platinum,Random,340,7.4171029668411865
29,CN,Platinum,Terran,1636,35.68935427574171
29,CN,Platinum,Zerg,1063,23.18935427574171
29,CN,Silver,Protoss,113,33.43195266272189
29,CN,Silver,Random,28,8.284023668639055
29,CN,Silver,Terran,133,39.349112426035504
29,CN,Silver,Zerg,64,18.93491124260355
29,EU,Bronze,Protoss,6,18.181818181818183
29,EU,Bronze,Random,3,9.090909090909092
29,EU,Bronze,Terran,16,48.484848484848484
29,EU,Bronze,Zerg,8,24.242424242424242
29,EU,Diamond,Protoss,5525,25.84795321637427
29,EU,Diamond,Random,2046,9.571929824561403
29,EU,Diamond,Terran,6444,30.147368421052633
29,EU,Diamond,Zerg,7360,34.4327485380117
29,EU,Gold,Protoss,939,33.262486716259296
29,EU,Gold,Random,224,7.934821112291888
29,EU,Gold,Terran,1107,39.213602550478214
29,EU,Gold,Zerg,553,19.589089620970597
29,EU,Grandmaster,Protoss,521,26.67690732206861
29,EU,Grandmaster,Random,90,4.6082949308755765
29,EU,Grandmaster,Terran,640,32.77009728622632
29,EU,Grandmaster,Zerg,702,35.944700460829495
29,EU,Master,Protoss,924,22.691552062868368
29,EU,Master,Random,297,7.293713163064833
29,EU,Master,Terran,1318,32.36738703339882
29,EU,Master,Zerg,1533,37.647347740667975
29,EU,Platinum,Protoss,2397,33.39835585899401
29,EU,Platinum,Random,634,8.833774557614602
29,EU,Platinum,Terran,2523,35.15396405183224
29,EU,Platinum,Zerg,1623,22.613905531559148
29,EU,Silver,Protoss,208,27.91946308724832
29,EU,Silver,Random,59,7.919463087248323
29,EU,Silver,Terran,330,44.29530201342282
29,EU,Silver,Zerg,148,19.86577181208054
29,KR,Bronze,Protoss,8,26.666666666666668
29,KR,Bronze,Random,5,16.666666666666664
29,KR,Bronze,Terran,10,33.33333333333333
29,KR,Bronze,Zerg,7,23.333333333333332
29,KR,Diamond,Protoss,3840,26.903944510614448
29,KR,Diamond,Random,1220,8.547607370559799
29,KR,Diamond,Terran,5244,36.74069922230785
29,KR,Diamond,Zerg,3969,27.807748896517904
29,KR,Gold,Protoss,258,28.762541806020064
29,KR,Gold,Random,81,9.03010033444816
29,KR,Gold,Terran,383,42.69788182831661
29,KR,Gold,Zerg,175,19.50947603121516
29,KR,Grandmaster,Protoss,349,28.282009724473255
29,KR,Grandmaster,Random,48,3.889789303079417
29,KR,Grandmaster,Terran,481,38.97893030794165
29,KR,Grandmaster,Zerg,356,28.84927066450567
29,KR,Master,Protoss,594,23.7125748502994
29,KR,Master,Random,207,8.263473053892216
29,KR,Master,Terran,973,38.84231536926148
29,KR,Master,Zerg,731,29.181636726546905
29,KR,Platinum,Protoss,1214,30.937818552497454
29,KR,Platinum,Random,342,8.715596330275229
29,KR,Platinum,Terran,1583,40.3414882772681
29,KR,Platinum,Zerg,785,20.005096839959226
29,KR,Silver,Protoss,30,33.70786516853933
29,KR,Silver,Random,11,12.359550561797752
29,KR,Silver,Terran,38,42.69662921348314
29,KR,Silver,Zerg,10,11.235955056179774
29,US,Bronze,Protoss,4,36.36363636363637
29,US,Bronze,Random,3,27.27272727272727
29,US,Bronze,Terran,2,18.181818181818183
29,US,Bronze,Zerg,2,18.181818181818183
29,US,Diamond,Protoss,4890,25.026869338246584
29,US,Diamond,Random,1940,9.928860228261426
29,US,Diamond,Terran,5988,30.64639950867496
29,US,Diamond,Zerg,6721,34.39787092481703
29,US,Gold,Protoss,774,31.34872417982989
29,US,Gold,Random,236,9.55852571891454
29,US,Gold,Terran,957,38.76063183475091
29,US,Gold,Zerg,502,20.332118266504658
29,US,Grandmaster,Protoss,503,26.75531914893617
29,US,Grandmaster,Random,103,5.4787234042553195
29,US,Grandmaster,Terran,631,33.56382978723404
29,US,Grandmaster,Zerg,643,34.202127659574465
29,US,Master,Protoss,932,23.422970595627042
29,US,Master,Random,317,7.966825835637096
29,US,Master,Terran,1308,32.8725810505152
29,US,Master,Zerg,1422,35.73762251822066
29,US,Platinum,Protoss,1913,30.490914886834553
29,US,Platinum,Random,730,11.635320369780045
29,US,Platinum,Terran,2149,34.2524705132292
29,US,Platinum,Zerg,1482,23.621294230156202
29,US,Silver,Protoss,157,25.61174551386623
29,US,Silver,Random,57,9.29853181076672
29,US,Silver,Terran,273,44.53507340946166
29,US,Silver,Zerg,126,20.554649265905383
30,CN,Bronze,Protoss,3,23.076923076923077
30,CN,Bronze,Random,1,7.6923076923076925
30,CN,Bronze,Terran,6,46.15384615384615
30,CN,Bronze,Zerg,3,23.076923076923077
30,CN,Diamond,Protoss,3423,22.304033361569036
30,CN,Diamond,Random,1163,7.578028279142504
30,CN,Diamond,Terran,5641,36.75636932299472
30,CN,Diamond,Zerg,5120,33.36156903629374
30,CN,Gold,Protoss,857,34.52860596293312
30,CN,Gold,Random,180,7.2522159548751
30,CN,Gold,Terran,919,37.02659145850121
30,CN,Gold,Zerg,526,21.19258662369057
30,CN,Grandmaster,Protoss,267,26.700000000000003
30,CN,Grandmaster,Random,59,5.8999999999999995
30,CN,Grandmaster,Terran,346,34.599999999999994
30,CN,Grandmaster,Zerg,328,32.800000000000004
30,CN,Master,Protoss,513,22.055030094582975
30,CN,Master,Random,153,6.577815993121239
30,CN,Master,Terran,924,39.72484952708513
30,CN,Master,Zerg,736,31.64230438521066
30,CN,Platinum,Protoss,2014,30.856442469741076
30,CN,Platinum,Random,445,6.8178336142178635
30,CN,Platinum,Terran,2467,37.79684387927072
30,CN,Platinum,Zerg,1601,24.52888003677034
30,CN,Silver,Protoss,194,38.1139489194499
30,CN,Silver,Random,39,7.662082514734774
30,CN,Silver,Terran,158,31.041257367387033
30,CN,Silver,Zerg,118,23.18271119842829
30,EU,Bronze,Protoss,11,26.82926829268293
30,EU,Bronze,Random,6,14.634146341463413
30,EU,Bronze,Terran,14,34.146341463414636
30,EU,Bronze,Zerg,10,24.390243902439025
30,EU,Diamond,Protoss,6691,25.437195863746958
30,EU,Diamond,Random,2534,9.633515815085158
30,EU,Diamond,Terran,7922,30.117092457420924
30,EU,Diamond,Zerg,9157,34.81219586374696
30,EU,Gold,Protoss,1432,34.119609244698594
30,EU,Gold,Random,297,7.076483202287348
30,EU,Gold,Terran,1612,38.40838694305456
30,EU,Gold,Zerg,856,20.395520609959494
30,EU,Grandmaster,Protoss,594,24.43438914027149
30,EU,Grandmaster,Random,81,3.331962155491567
30,EU,Grandmaster,Terran,876,36.03455368161251
30,EU,Grandmaster,Zerg,880,36.199095022624434
30,EU,Master,Protoss,1038,22.560312975440123
30,EU,Master,Random,339,7.367963486198653
30,EU,Master,Terran,1573,34.188219952184305
30,EU,Master,Zerg,1651,35.88350358617692
30,EU,Platinum,Protoss,3371,33.34982192322913
30,EU,Platinum,Random,891,8.814800158290463
30,EU,Platinum,Terran,3477,34.3984962406015
30,EU,Platinum,Zerg,2369,23.436881677878908
30,EU,Silver,Protoss,311,27.280701754385966
30,EU,Silver,Random,89,7.80701754385965
30,EU,Silver,Terran,510,44.73684210526316
30,EU,Silver,Zerg,230,20.175438596491226
30,KR,Bronze,Random,2,40.0
30,KR,Bronze,Terran,2,40.0
30,KR,Bronze,Zerg,1,20.0
30,KR,Diamond,Protoss,4814,25.65004262574595
30,KR,Diamond,Random,1663,8.86082693947144
30,KR,Diamond,Terran,6880,36.65814151747656
30,KR,Diamond,Zerg,5411,28.830988917306055
30,KR,Gold,Protoss,414,30.6439674315322
30,KR,Gold,Random,89,6.587712805329386
30,KR,Gold,Terran,599,44.337527757216876
30,KR,Gold,Zerg,249,18.43079200592154
30,KR,Grandmaster,Protoss,447,26.170960187353632
30,KR,Grandmaster,Random,91,5.327868852459016
30,KR,Grandmaster,Terran,680,39.812646370023415
30,KR,Grandmaster,Zerg,490,28.688524590163933
30,KR,Master,Protoss,599,20.32575500508992
30,KR,Master,Random,200,6.78656260604004
30,KR,Master,Terran,1259,42.721411605022055
30,KR,Master,Zerg,889,30.16627078384798
30,KR,Platinum,Protoss,1861,32.461189604046744
30,KR,Platinum,Random,448,7.814407814407814
30,KR,Platinum,Terran,2221,38.74062445491017
30,KR,Platinum,Zerg,1203,20.98377812663527
30,KR,Silver,Protoss,46,37.39837398373984
30,KR,Silver,Random,15,12.195121951219512
30,KR,Silver,Terran,44,35.77235772357724
30,KR,Silver,Zerg,18,14.634146341463413
30,US,Bronze,Protoss,9,37.5
30,US,Bronze,Random,5,20.833333333333336
30,US,Bronze,Terran,8,33.33333333333333
30,US,Bronze,Zerg,2,8.333333333333332
30,US,Diamond,Protoss,6231,24.730115891411337
30,US,Diamond,Random,2621,10.402444832513098
30,US,Diamond,Terran,7808,30.98904588029846
